ext_id,name,kcal,protein,carb,fat,fiber
780010305,FRANGO INTEIRO - FRITO(A),261.66,27.3,0,16.16,0
780010306,FRANGO INTEIRO - EMPANADO(A)/A MILANESA,277.84,27.76,3.39,16.21,0.14
780010307,FRANGO INTEIRO - REFOGADO(A),261.66,27.3,0,16.16,0
780010308,FRANGO INTEIRO - MOLHO VERMELHO,196.0,22.1,1.08,10.92,0.3
780010313,FRANGO INTEIRO - ENSOPADO,261.66,27.3,0,16.16,0
780030101,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - CRU(A),239.0,27.3,0,13.6,0
780030102,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - COZIDO(A),239.0,27.3,0,13.6,0
780030103,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - GRELHADO(A)/BRASA/CHURRASCO,239.0,27.3,0,13.6,0
780030104,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - ASSADO(A),239.0,27.3,0,13.6,0
780030105,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - FRITO(A),261.66,27.3,0,16.16,0
780030106,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - EMPANADO(A)/A MILANESA,277.84,27.76,3.39,16.21,0.14
780030107,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - REFOGADO(A),261.66,27.3,0,16.16,0
780030108,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - MOLHO VERMELHO,196.0,22.1,1.08,10.92,0.3
780030113,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA - ENSOPADO,261.66,27.3,0,16.16,0
780030199,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,239.0,27.3,0,13.6,0
780030201,FRANGO EM PEDAÇOS - CRU(A),239.0,27.3,0,13.6,0
780030202,FRANGO EM PEDAÇOS - COZIDO(A),239.0,27.3,0,13.6,0
780030203,FRANGO EM PEDAÇOS - GRELHADO(A)/BRASA/CHURRASCO,239.0,27.3,0,13.6,0
780030204,FRANGO EM PEDAÇOS - ASSADO(A),239.0,27.3,0,13.6,0
780030205,FRANGO EM PEDAÇOS - FRITO(A),261.66,27.3,0,16.16,0
780030206,FRANGO EM PEDAÇOS - EMPANADO(A)/A MILANESA,277.84,27.76,3.39,16.21,0.14
780030207,FRANGO EM PEDAÇOS - REFOGADO(A),261.66,27.3,0,16.16,0
780030208,FRANGO EM PEDAÇOS - MOLHO VERMELHO,196.0,22.1,1.08,10.92,0.3
780030209,FRANGO EM PEDAÇOS - MOLHO BRANCO,226.78,22.6,1.85,13.71,0.04
780030210,FRANGO EM PEDAÇOS - AO ALHO E OLEO,261.66,27.3,0,16.16,0
780030211,FRANGO EM PEDAÇOS - COM MANTEIGA/OLEO,192.14,30.93,0.0,6.67,0
780030213,FRANGO EM PEDAÇOS - ENSOPADO,261.66,27.3,0,16.16,0
780030215,FRANGO EM PEDAÇOS - SOPA,31.47,1.61,3.64,1.06,0.13
780030299,FRANGO EM PEDAÇOS,239.0,27.3,0,13.6,0
780030302,GALINHA EM PEDACOS - COZIDO(A),239.0,27.3,0,13.6,0
780030303,GALINHA EM PEDACOS - GRELHADO(A)/BRASA/CHURRASCO,239.0,27.3,0,13.6,0
780030304,GALINHA EM PEDACOS - ASSADO(A),239.0,27.3,0,13.6,0
780030305,GALINHA EM PEDACOS - FRITO(A),261.66,27.3,0,16.16,0
780030306,GALINHA EM PEDACOS - EMPANADO(A)/A MILANESA,277.84,27.76,3.39,16.21,0.14
780030307,GALINHA EM PEDACOS - REFOGADO(A),261.66,27.3,0,16.16,0
780030308,GALINHA EM PEDACOS - MOLHO VERMELHO,196.0,22.1,1.08,10.92,0.3
780030309,GALINHA EM PEDACOS - MOLHO BRANCO,226.78,22.6,1.85,13.71,0.04
780030313,GALINHA EM PEDACOS - ENSOPADO,261.66,27.3,0,16.16,0
780030401,CARNE DE GALINHA - CRU(A),239.0,27.3,0,13.6,0
780030402,CARNE DE GALINHA - COZIDO(A),239.0,27.3,0,13.6,0
